num_observations,rmse,mae,r
1,4.510639861827592,4.262923664898004,-5.959246947987327
1,4.394490302090843,4.156433032419624,-6.070843801191702
1,4.328507558942422,4.101736819513228,-6.312646541592678
1,4.258968280585251,4.049261082373669,-6.755769058205134
1,4.213485615355545,4.017457544643159,-7.238973173132758
1,4.214832955045181,4.018552492251627,-7.138316401445927
1,4.269974714952599,4.054491072553705,-6.449740560395134
1,4.377401088777829,4.12474639471689,-5.488019457619222
1,4.59093938351791,4.2579205523088275,-4.074676140954932
1,4.982852946203319,4.493213266604936,-2.706910419862451
1,5.475365928698398,4.798526495039297,-1.9557477513403816
1,6.06470920809128,5.173942245843714,-1.4581267078284914
1,6.6639074378222585,5.587637885615834,-1.2341279049714537
1,7.279717602991629,6.0361930046899195,-1.1128794159646245
1,7.8530128804002235,6.492645676570583,-1.0771298354094805
1,8.279199816171879,6.890091499543874,-1.1425378037085596
1,8.616845856673384,7.253114402701492,-1.2621707907348383
1,8.946272032849377,7.622335054492196,-1.4087881867139234
1,9.260948586928231,7.997102585772701,-1.596136989716812
1,9.579132200331129,8.387675343814266,-1.8315793706449917
1,9.883670261752378,8.7792409906546,-2.1274919044081337
1,10.180734095903738,9.186539238098918,-2.5425716005454304
1,10.476073414574568,9.604235447513716,-3.1110106500310675
1,10.768640761844736,10.025741374485243,-3.8991599116705595
1,11.04439696915488,10.433683608626529,-5.023238238693626
1,11.310719053379469,10.823398239287835,-6.618160480112627
1,11.526335595537821,11.132781119823155,-8.518345520795213
1,11.712572481027411,11.400473076874503,-11.085222139115581
1,11.871591976679529,11.63068741946199,-14.73894737024894
1,11.984881076493387,11.796559569548496,-19.239203166838095
1,12.05358895373486,11.900950550122216,-23.81613565452451
1,12.048180257563935,11.891621308742032,-23.113803768623427
1,12.006011138415492,11.821197652963859,-19.406194861994003
1,11.900327222589379,11.665415951902379,-14.910725318096494
1,11.747359347447123,11.457806811709347,-11.753714935580673
1,11.507717612937546,11.165766830705449,-9.619758410876942
1,11.202417154279738,10.814699054285365,-8.17738214348051
1,10.867059510582264,10.447872670025873,-7.267341460222967
1,10.478503607681102,10.048481477797344,-6.813022382851998
1,10.121975780996149,9.682939081777016,-6.425062798239871
1,9.862369314061315,9.397356047352421,-5.838100551806381
1,9.628082001913368,9.150460817091234,-5.499542890579074
1,9.397756895785678,8.917048110105837,-5.305962877681153
