num_observations,rmse,mae,r
1,0.12709034056546756,0.09874767027433513,0.9944752703933961
1,0.12394081241774423,0.09727626459143968,0.9943755132255245
1,0.11412368761451425,0.09182661391404807,0.9949166523240591
1,0.11223098777132157,0.0905186977514741,0.994614306574811
1,0.1077511431143622,0.08768487939923013,0.9946119225474542
1,0.09988177980559299,0.08332515885731688,0.9954296823985083
1,0.09491614516307526,0.07771201865960335,0.9963189583986063
1,0.09084886414436685,0.0748782003073596,0.9972054076613299
1,0.1269299336599868,0.0876303828924557,0.9961208790560995
1,0.17815479860105715,0.1104644192307264,0.9952613896430805
1,0.24896474886823117,0.14376178486958902,0.9938889366173954
1,0.670436301632649,0.2674688552463781,0.969960040366522
1,0.8617908341962707,0.3744999945503489,0.9626359570692802
1,1.0248575406590765,0.4823485814559283,0.958123280859904
1,1.1891451928048138,0.602676868412734,0.9523721701524477
1,1.206570491818486,0.6376636257615884,0.9544952047364322
1,1.2069426346536987,0.64060643712738,0.9556184975988731
1,1.20691845970799,0.6400069755528669,0.9561600275363407
1,1.2072373974144184,0.6443121995880065,0.9558834015368707
1,1.2072373974144184,0.6443121995880066,0.9550259740054501
1,1.2083391968786699,0.6522141930702245,0.953254756617391
1,1.2093338027892484,0.6606066551134073,0.9500134881228817
1,1.209391080267051,0.66147859922179,0.9452120491109197
1,1.2092053397570892,0.6580453192950335,0.9382268213383044
1,1.2102803381364602,0.6640944315469383,0.9276700806412732
1,1.2102647670113535,0.6638219490130689,0.9127771109372923
1,1.213731283930702,0.6769011106388086,0.8944583115742032
1,1.215426173444144,0.6863835028174701,0.8698610724584902
1,1.2168427177279366,0.6945579788335574,0.8346414502668983
1,1.2186393841550376,0.7032229234106099,0.7907447459322515
1,1.2187050008278382,0.7046943290935057,0.7463127817031623
1,1.2197895821931768,0.7131957841502367,0.7528317691413969
1,1.2195162302005693,0.710361965797993,0.7894575294146584
1,1.213461244262852,0.6874734329529488,0.834566296533442
1,1.2050900092383316,0.6620235642895301,0.8657868189738689
1,1.1187628145991764,0.5830581259741259,0.8996280664590657
1,0.9610975675899371,0.46970539188438093,0.932449232071935
1,0.7977904203391669,0.36447263730394963,0.9554426433204215
1,0.5238259367993845,0.24408985384036955,0.9804748431805596
1,0.2095294162762912,0.15874832423241736,0.9968182976433344
1,0.20270714669543305,0.15275370848728637,0.9971112425341103
1,0.20047547217594847,0.14975640061472073,0.9971820989225252
1,0.20010746998595394,0.15002888314859036,0.9971408983296118
1,0.20420632268473632,0.15558752683952962,0.9969081254805191
1,0.20987119150674594,0.16218160415917326,0.9964975214791512
1,0.20760682975887668,0.15902080676628622,0.9962857721553301
1,0.24684179959813596,0.18109189200972234,0.9942578740882932
1,0.3112351896786903,0.21607864935857607,0.9903405885702817
1,0.35096745501895193,0.24665118965874303,0.9867397117101927
1,0.5205373279014803,0.31324592093646825,0.973959932351909
1,0.6140455367714724,0.36523558839878395,0.9685795295271429
1,0.6821129477985913,0.40779736018921237,0.9664492164400078
1,0.6885252144769088,0.4124295632649956,0.9682534401763362
1,0.6853220684537777,0.40283817807278677,0.9705692246876092
1,0.6832282432939515,0.395590142671856,0.9725432026093542
1,0.6817651110466123,0.3905764640486557,0.9741542028154875
1,0.6812837153185977,0.3872521771354467,0.974980267533154
1,0.6813139393372261,0.38752465966931615,0.9753272228093337
1,0.6816195217708845,0.38872358281834213,0.9753873039417794
1,0.681578422395954,0.3879061352167334,0.9751186635776389
1,0.6819272079764732,0.3907399535689774,0.9741463224727392
1,0.6824038847463758,0.39308330336025604,0.9723864640465539
1,0.6840813910334433,0.40180274444408254,0.969506184834279
1,0.6853969154023274,0.40823333224340463,0.9651898125852826
1,0.6854112468643315,0.4085058147772743,0.95842577866364
1,0.6859058702157196,0.4117211086769352,0.9494854511293114
1,0.6868443660449349,0.41580834668497907,0.9379443039314208
1,0.6872581347984201,0.4170617663407787,0.9228511650602249
1,0.6854687820139396,0.41155761915661304,0.9046975824548802
1,0.6835436147882786,0.4053995138911608,0.889913718651118
1,0.676271583099157,0.3912304221299432,0.8897474565468269
1,0.65549111039212,0.3606578818297764,0.9032125485707309
1,0.6309049691788412,0.3288319218738095,0.9195794540782427
1,0.5229773762318871,0.26981220503765824,0.947368551264579
1,0.45121591487880713,0.21923944675146403,0.961559835830475
1,0.21782688007331422,0.1422358826799208,0.990312772408911
1,0.1302072777827666,0.11013744019008422,0.9964835991049825
1,0.12864212958402918,0.1075216078649359,0.9966364021812498
1,0.1301938655289094,0.10893851704105728,0.9965862509915623
1,0.13136668662940615,0.11013744019008372,0.9965558319519133
1,0.12972131940677184,0.10817556594622298,0.9966266648598118
1,0.1288235637504113,0.10626818820913614,0.996574492851201
1,0.1296943930019969,0.10763060087848418,0.9962613836226019
1,0.12963491071184918,0.10882952402751062,0.995849509730278
1,0.13257853225169033,0.11308025155587595,0.9949699516896634
1,0.12910228205742635,0.10986495765621464,0.994163374192603
1,0.1212138176746118,0.10239893622818799,0.9932836199237361
1,0.11744367679028027,0.09798471917950097,0.9909961190463117
1,0.11102052649582578,0.09395197767823114,0.9893644940506312
1,0.10914068079377845,0.09286204754275283,0.9860305900378017
1,0.10754092711587838,0.09166312439372683,0.980907207508965
1,0.10870714508298134,0.09204459994114417,0.9738449858815135
