num_observations,temp_pred,temp,residual,mag_residual
1,17.776760509651332,17.664606698710614,0.1121538109407183,0.1121538109407183
1,17.69398031586175,17.408255130846115,0.28572518501563593,0.28572518501563593
1,17.595178149080645,17.253376058594647,0.34180209048599863,0.34180209048599863
1,17.42160677500572,17.210650797283897,0.21095597772182373,0.21095597772182373
1,17.595178149080645,17.408255130846115,0.1869230182345305,0.1869230182345305
1,17.832837415121688,17.89158464942397,-0.058747234302281015,0.058747234302281015
1,18.12924391546502,17.89158464942397,0.23765926604104948,0.23765926604104948
1,18.089188982986197,17.918287937743187,0.17090104524300997,0.17090104524300997
1,18.24673838406958,17.99038681620508,0.256351567864499,0.256351567864499
1,17.664606698710614,17.42160677500572,0.2429999237048932,0.2429999237048932
1,17.450980392156865,17.266727702754253,0.1842526894026122,0.1842526894026122
1,17.595178149080645,17.477683680476083,0.11749446860456203,0.11749446860456203
1,17.437628747997252,17.18394750896468,0.25368123903257356,0.25368123903257356
1,16.91157396810864,16.799420157167923,0.1121538109407183,0.1121538109407183
1,16.855497062638285,16.786068513008317,0.06942854962996847,0.06942854962996847
1,16.770046540016786,16.700617990386817,0.06942854962996847,0.06942854962996847
1,16.687266346227204,16.572442206454568,0.11482413977263661,0.11482413977263661
1,15.894178683146409,15.8808270389868,0.013351644159609322,0.013351644159609322
1,15.7953765163653,15.782024872205687,0.013351644159612874,0.013351644159612874
1,15.707255664911877,15.63782711528191,0.0694285496299667,0.0694285496299667
1,15.469596398870834,15.52567330434119,-0.0560769054703556,0.0560769054703556
1,15.453574425879305,15.410849164568551,0.04272526131075338,0.04272526131075338
1,15.199893186846722,15.127794308384836,0.07209887846188678,0.07209887846188678
1,15.14114595254444,15.114442664225225,0.02670328831921509,0.02670328831921509
1,15.098420691233692,15.028992141603725,0.0694285496299667,0.0694285496299667
1,14.943541618982223,15.042343785763336,-0.09880216678111253,0.09880216678111253
1,14.88746471351186,14.916838330663005,-0.02937361715114406,0.02937361715114406
1,14.818036163881892,14.775310902571142,0.04272526131074983,0.04272526131074983
1,14.703212024109256,14.719233997100789,-0.016021972991532962,0.016021972991532962
1,14.56435492484932,14.604409857328143,-0.040054932478822636,0.040054932478822636
1,14.22255283436332,14.334706645304038,-0.1121538109407183,0.1121538109407183
1,14.150453955901426,14.209201190203707,-0.058747234302281015,0.058747234302281015
1,14.123750667582208,14.17982757305257,-0.0560769054703627,0.0560769054703627
1,14.09437705043107,14.150453955901426,-0.0560769054703556,0.0560769054703556
1,13.955519951171128,13.96887159533074,-0.013351644159611098,0.013351644159611098
1,13.82467383840696,13.795300221255816,0.02937361715114406,0.02937361715114406
1,13.69649805447471,13.73922331578546,-0.042725261310751605,0.042725261310751605
1,13.584344243533993,13.640421149004348,-0.0560769054703556,0.0560769054703556
1,13.50156404974441,13.597695887693597,-0.09613183794918712,0.09613183794918712
1,13.50156404974441,13.514915693904022,-0.013351644159612874,0.013351644159612874
1,13.11703669794766,13.103685053788055,0.013351644159603993,0.013351644159603993
1,12.94880598153658,13.018234531166556,-0.06942854962997558,0.06942854962997558
1,12.8900587472343,12.90608072022583,-0.016021972991531186,0.016021972991531186
1,12.807278553444725,12.8900587472343,-0.08278019378957424,0.08278019378957424
1,12.764553292133977,12.876707103074692,-0.11215381094071475,0.11215381094071475
1,12.850003814755476,12.962157625696191,-0.11215381094071475,0.11215381094071475
1,13.004882887006945,13.060959792477306,-0.05607690547036093,0.05607690547036093
1,13.03158617532616,13.159761959258413,-0.12817578393225304,0.12817578393225304
1,13.103685053788055,13.20248722056916,-0.09880216678110543,0.09880216678110543
1,13.939497978179595,14.13710231174182,-0.19760433356222507,0.19760433356222507
1,14.647135118638891,14.775310902571142,-0.12817578393225126,0.12817578393225126
1,15.35477225909819,15.552376592660409,-0.19760433356221796,0.19760433356221796
1,15.69390402075227,15.782024872205687,-0.0881208514534162,0.0881208514534162
1,15.95025558861677,16.062409399557488,-0.1121538109407183,0.1121538109407183
1,16.2466620889601,16.31609063859007,-0.06942854962996847,0.06942854962996847
1,16.572442206454568,16.729991607537954,-0.15754940108338644,0.15754940108338644
1,17.085145342183566,17.197299153124284,-0.1121538109407183,0.1121538109407183
1,17.54978255893797,17.7367055771725,-0.1869230182345305,0.1869230182345305
1,18.046463721675444,17.94766155489433,0.09880216678111253,0.09880216678111253
1,18.345540550850693,18.3588921950103,-0.013351644159605769,0.013351644159605769
1,18.625925078202485,18.61257343404288,0.013351644159605769,0.013351644159605769
1,18.868925001907375,18.839551384756238,0.029373617151136955,0.029373617151136955
1,19.13595788509957,19.333562218661783,-0.19760433356221085,0.19760433356221085
1,20.38300144960708,20.228122377355614,0.15487907225146458,0.15487907225146458
1,22.011902037079423,21.40306706340124,0.6088349736781815,0.6088349736781815
1,23.755626764324404,23.160143434805832,0.5954833295185722,0.5954833295185722
1,24.25230792706188,23.600747692072943,0.6515602349889384,0.6515602349889384
1,24.861142900740063,24.097428854810403,0.7637140459296603,0.7637140459296603
1,26.70366979476616,25.753032730601973,0.9506370641641873,0.9506370641641873
1,29.734493018997483,26.746395056076903,2.9880979629205804,2.9880979629205804
1,30.599679560540167,27.427328908216975,3.1723506523231926,3.1723506523231926
1,30.372701609826805,27.921339742122527,2.4513618677042786,2.4513618677042786
1,30.53025101091021,27.638284885938816,2.8919661249713933,2.8919661249713933
1,30.994888227664603,28.602273594262613,2.3926146334019904,2.3926146334019904
1,31.932173647669188,28.87197680628671,3.060196841382478,3.060196841382478
1,32.07637140459296,29.18173495078966,2.894636453803301,2.894636453803301
